Label,Comment,Reporting Group,Demand Group,Mean Annual Inflow (ML/year),Start Existence Date,End Existence Date,Storage Capacity when Full (ML),Surface Area when Full (m²),Non-Water Catchment Area Upstream of Dams (km²),Non-Water Catchment Area Downstream of Dams (km²),Total Upstream Catchment Area (km²),Total Upstream Non-Water Catchment Area (km²),Bypass Capacity (ML/d),Start Bypass Date,End Bypass Date,Start of Bypass Season,End of Bypass Season,Pumped Inflow Capacity (ML/d),Start Pumped Inflow Date,End Pumped Inflow Date,Start of Pumped Inflow Season,End of Pumped Inflow Season,Easting (m),Northing (m),Elevation (m),Node Model Type,Next Node Downstream Label
2,,Irrigation,Irrigation,42.95894406315772,1/01/0001 12:00:00 AM,31/12/9999 11:59:59 PM,49.999912512421396,34081.27486864523,0.7999986001987424,0,0.7999986001987424,0.7999986001987424,0,1/01/0001 12:00:00 AM,31/12/9999 11:59:59 PM,1/01/2000,31/12/2000,0,1/01/0001 12:00:00 AM,31/12/9999 11:59:59 PM,1/01/2000,31/12/2000,0,0,0,WaterBodyNode,
3,,DandS,DandS,7.516761143395392E-05,1/01/0001 12:00:00 AM,31/12/9999 11:59:59 PM,8.748757860388423E-05,0.14343079640027293,1.3998012576621478E-06,0,1.3998012576621478E-06,1.3998012576621478E-06,0,1/01/0001 12:00:00 AM,31/12/9999 11:59:59 PM,1/01/2000,31/12/2000,0,1/01/0001 12:00:00 AM,31/12/9999 11:59:59 PM,1/01/2000,31/12/2000,0,0,0,WaterBodyNode,
1,,Outlet,,510.1571247367379,1/01/0001 12:00:00 AM,31/12/9999 11:59:59 PM,0,0,0.8,9.2,10,10,0,1/01/0001 12:00:00 AM,31/12/9999 11:59:59 PM,1/01/2000,31/12/2000,0,1/01/0001 12:00:00 AM,31/12/9999 11:59:59 PM,1/01/2000,31/12/2000,0,0,0,ConfluenceNode,
